province_id,province-org,province,year,GINIW_province,gdppc,construction_gdp,construction_share,roadlength,allconstruction_length,allconstruction_lengthpc,edu_graduate (total),edu_graduate,total_gdp,agri_gdp(millions),agri_share,manu_gdp,manu_share,knowledge_service_gdp,knowledge_service_share,total_area,urban_modis,total_pop,pop_density,incomegroup,allsectorshare,totalshare
67,Amnat Chareon,Amnat Chareon,2014,0.303617,32018,651.38524,0.071888891,175,1704,0.006021201,65927,0.232957597,9061000000,1894.818663,0.209118051,479.414957,0.052909718,1226.607422,0.135372191,3264.555754,9.88117209,283000,86.68867109,0,0.39739996,0.469288851
67,Amnat Chareon,Amnat Chareon,2015,0.30711636,33389,630.560372,0.066733027,0,778,0.002749117,72167,0.255007067,9449000000,2026.935792,0.21451326,522.848221,0.055333709,1357.300044,0.143644835,3264.555754,9.88117209,283000,86.68867109,0,0.413491804,0.480224831
67,Amnat Chareon,Amnat Chareon,2016,0.33422264,34703,685.605208,0.069810122,0,0,0,87048,0.307590106,9821000000,2130.449452,0.216927956,550.505316,0.056053896,1520.964917,0.15486864,3264.555754,9.88117209,283000,86.68867109,0,0.427850492,0.497660614
67,Amnat Chareon,Amnat Chareon,2017,0.27058113,36265,639.389787,0.062300476,0,1123,0.003968198,90919,0.321268551,10263000000,2302.658999,0.224365098,545.314727,0.053134047,1635.805274,0.159388607,3264.555754,9.88117209,283000,86.68867109,0,0.436887752,0.499188228
67,Amnat Chareon,Amnat Chareon,2018,0.2542145,38833,647.688635,0.059144246,0,1878,0.006659574,86476,0.306652482,10951000000,2604.173416,0.237802339,551.000565,0.050315091,1761.822252,0.160882317,3264.555754,9.88117209,282000,86.38235069,0,0.448999747,0.508143993
67,Amnat Chareon,Amnat Chareon,2019,0.25918016,40174,607.806111,0.053650464,25,673,0.002386525,86357,0.306230496,11329000000,2416.570272,0.213308348,994.028396,0.087741936,1795.89019,0.15852151,3264.555754,9.88117209,282000,86.38235069,0,0.459571794,0.513222258
67,Amnat Chareon,Amnat Chareon,2020,0.24600317,40755,669.395224,0.058243733,0,223,0.00079078,90587,0.321230496,11493000000,2657.233521,0.231204518,757.571356,0.065915893,1784.442691,0.155263438,3264.555754,9.88117209,282000,86.38235069,0,0.452383849,0.510627582
67,Amnat Chareon,Amnat Chareon,2021,0.24955197,43248,732.786502,0.060084167,0,116,0.000411348,97386,0.345340426,12196000000,2689.839473,0.220550957,869.740112,0.071313555,2112.732055,0.173231556,3264.555754,9.88117209,282000,86.38235069,0,0.465096068,0.525180235
45,Ang Thong,Ang Thong,2014,0.36537394,63484,571.341188,0.035432012,0,25,9.84E-05,101556,0.399826772,16125000000,2276.535383,0.141180489,3666.560522,0.227383598,1358.434777,0.084244017,982.3283513,15.70814469,254000,258.5693467,0,0.452808104,0.488240116
45,Ang Thong,Ang Thong,2015,0.35336185,62673,672.273737,0.042230903,0,0,0,113734,0.447771654,15919000000,1943.137443,0.122064039,4202.191424,0.263973329,1503.321713,0.094435688,982.3283513,15.70814469,254000,258.5693467,0,0.480473056,0.522703959
45,Ang Thong,Ang Thong,2016,0.3322669,65490,757.246339,0.045702598,380,644,0.002545455,125129,0.494581028,16569000000,1706.378151,0.102986188,4190.141764,0.252890444,1716.242953,0.103581565,982.3283513,15.70814469,253000,257.5513571,0,0.459458197,0.505160795
45,Ang Thong,Ang Thong,2017,0.30363521,71857,754.986456,0.041859972,800,1380,0.005498008,126788,0.505131474,18036000000,2152.823238,0.119362566,4682.688728,0.259630114,1793.202444,0.099423511,982.3283513,15.70814469,251000,255.515378,0,0.478416191,0.520276163
45,Ang Thong,Ang Thong,2018,0.28925419,76088,723.872572,0.038054493,0,80,0.00032,137313,0.549252,19022000000,2447.854381,0.128685437,4556.940389,0.239561581,1917.610059,0.100810118,982.3283513,15.70814469,250000,254.4973884,0,0.469057136,0.507111629
